numSample;x1_pix;y1_pix;x2_pix;y2_pix;laser_X_m;laser_Y_m;radar_X_m;radar_Y_m;radar_R_m;radar_A_deg;radar_D_mps;radar_P_db;dataset;index;Annotation;Difficult
0;844;515;1109;738;0,223501295;11,29125881;0,076785527;11,75940418;11,77699757;-0,400000006;2;39021448;RECORD@2020-11-21_13.44.44;0;weak;0
0;1302;507;1715;782;3,363449097;8,576388359;3,097865582;9,105825424;9,780896187;-19,39999962;18;16052051;RECORD@2020-11-21_13.44.44;0;weak;0
0;1118;471;1337;649;3,596418381;19,73351669;3,409848452;20,58024979;20,95906448;-9,600000381;23;12053775;RECORD@2020-11-21_13.44.44;0;weak;0
0;1022;461;1226;590;0,733993292;11,46860218;0,143846378;11,75940418;11,77699757;-0,699999988;1;39016960;RECORD@2020-11-21_13.44.44;0;weak;0
1;1296;498;1682;774;3,50564456;9,0008955;3,1194942;9,522439957;10,18011665;-19;16;28089750;RECORD@2020-11-21_13.44.44;1;weak;0
1;845;513;1109;738;0,207299277;11,31393433;0,153437644;11,57518196;11,57738781;-0,800000012;2;47227612;RECORD@2020-11-21_13.44.44;1;weak;0
1;1081;481;1333;635;3,748978138;20,33323669;3,880532265;21,17062378;21,358284;-10,30000019;24;12500830;RECORD@2020-11-21_13.44.44;1;weak;0
1;150;539;356;666;-4,101474762;9,354154587;-4,025963783;9,301595688;10,18011665;23,79999924;231;9294597;RECORD@2020-11-21_13.44.44;1;weak;0
2;1287;504;1662;771;3,376296043;9,347215652;3,166516781;9,876775742;10,37972641;-18,5;14;15918269;RECORD@2020-11-21_13.44.44;2;weak;0
2;1088;490;1328;643;3,693201303;20,82712746;2,918206215;21,59820557;21,75750351;-7,900000095;23;9053354;RECORD@2020-11-21_13.44.44;2;weak;0
2;839;529;1108;749;0,184757978;11,30931473;0,009909126;11,57499123;11,57738781;-0,100000001;254;43487396;RECORD@2020-11-21_13.44.44;2;weak;0
3;1287;500;1643;762;3,571326494;9,718420982;3,179746628;10,1349535;10,77894688;-18,20000076;11;16983782;RECORD@2020-11-21_13.44.44;3;incomplete;0
3;1121;491;1313;648;3,642369747;21,34195518;3,518688202;22,15653038;22,35633469;-8,899999619;23;9565411;RECORD@2020-11-21_13.44.44;3;incomplete;0
3;840;531;1108;754;0,171368822;11,28709698;0,48467654;11,74184513;11,77699757;-2,400000095;253;41596980;RECORD@2020-11-21_13.44.44;3;incomplete;0
3;1042;473;1259;624;3,308105707;21,3476162;3,39677763;22,07584953;22,35633469;-8,899999619;23;10476272;RECORD@2020-11-21_13.44.44;3;incomplete;0
4;1279;496;1624;760;3,568714619;9,981954575;3,266343117;10,52410889;10,97855663;-17,5;11;13230800;RECORD@2020-11-21_13.44.44;4;weak;0
4;1098;493;1308;654;3,63789463;21,84522438;3,582220554;22,63541985;22,95516396;-9,199999809;22;12159406;RECORD@2020-11-21_13.44.44;4;weak;0
4;836;528;1102;752;0,160191536;11,23595238;-0,05933357;11,73429203;11,77699757;0,300000012;252;32141952;RECORD@2020-11-21_13.44.44;4;weak;0
4;34;561;204;643;-4,098292828;7,273369312;-4,110992432;7,242799282;8,383625031;30,10000038;224;10218513;RECORD@2020-11-21_13.44.44;4;weak;0
4;1047;476;1235;623;3,177564383;21,8387928;3,109362602;22,51111984;22,7555542;-7,900000095;22;11815967;RECORD@2020-11-21_13.44.44;4;weak;0
