numSample,x1_pix,y1_pix,x2_pix,y2_pix,laser_X_m,laser_Y_m,laser_Z_m,radar_X_m,radar_Y_m,radar_R_m,radar_A_deg,radar_D_mps,radar_P_db,dataset,index,Difficult
18,1078,494,1196,594,3.6650209426879883,33.329959869384766,1.0386567115783691,3.865988254547119,33.778480529785156,34.03352737426758,-6.5,16.0,13900127.0,RECORD@2020-11-21_13.44.44,26,0.0
18,815,498,1082,735,0.045091599225997925,10.640548706054688,0.6599167585372925,0.29350602626800537,11.146265029907227,11.178167343139648,-1.600000023841858,236.0,32364614.0,RECORD@2020-11-21_13.44.44,26,0.0
18,1148,505,1320,642,3.9104671478271484,21.386646270751953,0.9553328156471252,3.848159074783325,21.721492767333984,22.15672492980957,-10.0,16.0,19165300.0,RECORD@2020-11-21_13.44.44,26,0.0
18,1497,481,1920,931,2.90789532661438,5.678619861602783,0.5381990671157837,3.095149040222168,6.641537666320801,7.385574817657471,-26.0,16.0,10455453.0,RECORD@2020-11-21_13.44.44,26,0.0
37,641,526,697,568,-10.08414077758789,65.2501449584961,-0.06555348634719849,-9.665508270263672,65.44424438476562,66.17076110839844,8.399999618530273,167.0,8354180.0,RECORD@2020-11-22_12.27.27,2,0.0
38,645,520,701,565,-8.775779724121094,57.689308166503906,0.5957357287406921,-8.469494819641113,57.873294830322266,58.48576736450195,8.300000190734863,167.0,14992794.0,RECORD@2020-11-22_12.27.27,3,0.0
39,642,523,707,575,-7.670774936676025,49.99360275268555,0.036242783069610596,-7.273423194885254,50.41752624511719,50.90058135986328,8.199999809265137,167.0,9243501.0,RECORD@2020-11-22_12.27.27,4,0.0
40,630,528,710,593,-6.74628210067749,42.567745208740234,0.08410274982452393,-6.355233669281006,42.817100524902344,43.315399169921875,8.5,167.0,20767424.0,RECORD@2020-11-22_12.27.27,5,0.0
41,610,518,704,598,-5.834587097167969,35.008426666259766,0.13704946637153625,-5.404653549194336,35.16560363769531,35.530601501464844,8.800000190734863,169.0,14916092.0,RECORD@2020-11-22_12.27.27,6,0.0
43,554,512,613,564,-11.883689880371094,58.28485870361328,0.7624071836471558,-11.134082794189453,58.33086395263672,59.48381805419922,10.899999618530273,155.0,7327507.5,RECORD@2020-11-22_12.27.27,9,0.0
44,550,509,628,579,-8.528692245483398,42.65186309814453,0.657312273979187,-8.386574745178223,42.60607147216797,43.51500701904297,11.100000381469727,154.0,9154819.0,RECORD@2020-11-22_12.27.27,11,0.0
45,526,510,627,598,-7.387659072875977,34.51252746582031,0.5065867304801941,-7.274938583374023,34.77199935913086,35.530601501464844,11.899999618530273,155.0,11911677.0,RECORD@2020-11-22_12.27.27,12,0.0
46,481,508,613,619,-6.379380702972412,26.761247634887695,0.550304114818573,-6.196831703186035,26.88621711730957,27.54619789123535,12.899999618530273,157.0,16712434.0,RECORD@2020-11-22_12.27.27,13,0.0
